[gpu1] Starting: tau0.12_slots1_warmup0
Run:        pm3_tau0.12_slots1_warmup0
Device:     cuda
Epochs:     200
Batch size: 512
LR:         8.49e-04  (auto-scaled from 0.0003 at batch=64)
Output:     results/pm3_grid/pm3_tau0.12_slots1_warmup0.pkl
────────────────────────────────────────────────────────────
/global/homes/d/danieltm/.conda/envs/influencer/lib/python3.11/site-packages/torch/nn/modules/transformer.py:296: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. (Triggered internally at /opt/conda/conda-bld/pytorch_1682343970094/work/aten/src/ATen/NestedTensorImpl.cpp:177.)
  output = torch._nested_tensor_from_mask(output, src_key_padding_mask.logical_not(), mask_check=False)
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 127 | loss=0.9700 dist=0.8506 div=2.213 H=0.085 gd=0.676 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 128 | loss=0.9713 dist=0.8503 div=2.214 H=0.086 gd=0.714 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 129 | loss=0.9888 dist=0.8506 div=2.208 H=0.086 gd=0.697 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 130 | loss=0.9961 dist=0.8635 div=2.214 H=0.085 gd=0.745 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 131 | loss=1.0488 dist=0.8099 div=2.247 H=0.080 gd=0.771 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 132 | loss=0.9552 dist=0.7896 div=2.216 H=0.078 gd=0.672 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 133 | loss=0.9257 dist=0.7906 div=2.249 H=0.079 gd=0.688 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 134 | loss=0.9006 dist=0.7741 div=2.261 H=0.078 gd=0.667 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 135 | loss=0.8811 dist=0.7547 div=2.275 H=0.077 gd=0.676 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 136 | loss=0.8697 dist=0.7670 div=2.299 H=0.075 gd=0.690 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 137 | loss=0.8483 dist=0.7209 div=2.294 H=0.073 gd=0.701 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 138 | loss=0.8170 dist=0.6975 div=2.303 H=0.073 gd=0.694 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 139 | loss=0.7446 dist=0.6866 div=2.314 H=0.071 gd=0.787 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 140 | loss=0.7609 dist=0.7036 div=2.281 H=0.071 gd=0.629 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 141 | loss=0.7529 dist=0.6844 div=2.311 H=0.069 gd=0.706 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 142 | loss=0.7343 dist=0.6613 div=2.333 H=0.067 gd=0.721 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 143 | loss=0.7063 dist=0.6707 div=2.344 H=0.066 gd=0.628 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 144 | loss=0.7092 dist=0.6643 div=2.342 H=0.066 gd=0.725 lr=8.49e-04
