[gpu0] Starting: tau0.12_slots0_warmup0
Run:        pm3_tau0.12_slots0_warmup0
Device:     cuda
Epochs:     200
Batch size: 512
LR:         8.49e-04  (auto-scaled from 0.0003 at batch=64)
Output:     results/pm3_grid/pm3_tau0.12_slots0_warmup0.pkl
────────────────────────────────────────────────────────────
/global/homes/d/danieltm/.conda/envs/influencer/lib/python3.11/site-packages/torch/nn/modules/transformer.py:296: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. (Triggered internally at /opt/conda/conda-bld/pytorch_1682343970094/work/aten/src/ATen/NestedTensorImpl.cpp:177.)
  output = torch._nested_tensor_from_mask(output, src_key_padding_mask.logical_not(), mask_check=False)
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  84 | loss=0.8435 dist=0.7334 div=2.293 H=0.078 gd=0.627 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  85 | loss=0.8423 dist=0.7371 div=2.290 H=0.075 gd=0.614 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  86 | loss=0.8678 dist=0.7380 div=2.295 H=0.075 gd=0.683 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  87 | loss=0.8600 dist=0.7348 div=2.279 H=0.077 gd=0.636 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  88 | loss=0.8435 dist=0.7292 div=2.299 H=0.074 gd=0.719 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  89 | loss=0.8474 dist=0.7276 div=2.314 H=0.074 gd=0.666 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  90 | loss=0.8263 dist=0.7617 div=2.306 H=0.075 gd=0.661 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  91 | loss=0.8609 dist=0.7193 div=2.305 H=0.074 gd=0.650 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  92 | loss=0.8513 dist=0.7242 div=2.288 H=0.074 gd=0.622 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  93 | loss=0.8413 dist=0.7296 div=2.315 H=0.077 gd=0.604 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  94 | loss=0.8442 dist=0.7195 div=2.334 H=0.074 gd=0.670 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  95 | loss=0.8797 dist=0.7860 div=2.230 H=0.081 gd=0.627 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  96 | loss=0.9375 dist=0.7436 div=2.281 H=0.078 gd=0.687 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  97 | loss=0.8718 dist=0.7423 div=2.302 H=0.074 gd=0.667 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  98 | loss=0.8514 dist=0.7401 div=2.281 H=0.074 gd=0.626 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch  99 | loss=0.8548 dist=0.7462 div=2.302 H=0.077 gd=0.624 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch 100 | loss=0.8928 dist=0.7549 div=2.289 H=0.077 gd=0.698 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch 101 | loss=0.8631 dist=0.7201 div=2.301 H=0.073 gd=0.669 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch 102 | loss=0.8335 dist=0.7311 div=2.315 H=0.074 gd=0.664 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch 103 | loss=0.8512 dist=0.7304 div=2.305 H=0.076 gd=0.655 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch 104 | loss=0.8692 dist=0.7212 div=2.290 H=0.074 gd=0.661 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch 105 | loss=0.8433 dist=0.7216 div=2.304 H=0.073 gd=0.607 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch 106 | loss=0.8425 dist=0.7212 div=2.313 H=0.073 gd=0.622 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch 107 | loss=0.8309 dist=0.7291 div=2.307 H=0.076 gd=0.649 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch 108 | loss=0.8568 dist=0.7151 div=2.291 H=0.074 gd=0.666 lr=8.49e-04
  [PM3 tau=0.12 | slotted=False | warmup_cosine=False] epoch 109 | loss=0.8214 dist=0.7220 div=2.318 H=0.073 gd=0.667 lr=8.49e-04
